song_id,song_name,artist_name,album_name,date_added,track_path,play_count,duration,cloud_status,is_favorited,hash
7664,I'm Fine,BTS,Love Yourself: Answer,2020-11-20,/Users/alex/Music/Musica/Music/Compilations/Love Yourself_ Answer/I'm Fine.mp3,130,240,unknown,0,374ab103ac5a4209082f4f3dcc03d073b9a42c24c6b9c0b59121113a846f0a52
7644,Idol,BTS,Love Yourself: Answer,2020-11-20,/Users/alex/Music/Musica/Music/Compilations/Love Yourself_ Answer/Idol.mp3,103,286,unknown,0,6e9077f512fa26fb9732f6b6b279cb7cc9d5997e17b80a6a6dbf5d003759fcad
7770,Best Of Me,BTS,Love Yourself: Her,2021-01-20,/Users/alex/Music/Musica/Music/Compilations/Love Yourself_ Her/Best Of Me.mp3,78,232,unknown,0,32d9415cd1c4e2c47f6ea2f6ce82e5d9f5b42517c70e498d0ec1f3e25b4bf8ee
7612,DNA,BTS,Love Yourself: Her,2020-11-20,/Users/alex/Music/Musica/Music/Compilations/Love Yourself_ Her/DNA.mp3,177,240,unknown,1,faf311852854e56e8cba97caed30bd84d78068b3ad10d7c03328e6bb7f5436dd
7740,Go Go,BTS,Love Yourself: Her,2020-12-16,/Users/alex/Music/Musica/Music/Compilations/Love Yourself_ Her/Go Go.mp3,56,241,unknown,0,89df54dc00e7a731a5a8a3853331072d908fbe195009498fde1783254cad3e48
7674,Mic Drop,BTS,Love Yourself: Her,2020-11-20,/Users/alex/Music/Musica/Music/Compilations/Love Yourself_ Her/Mic Drop.mp3,136,266,unknown,0,257457223b08bfe9d8c8bc2e7de1d36588ab7a924715dd9f7fb57c9b5fdaee98
10530,Airplane pt.2 (Jap. Ver),BTS,Love Yourself: Tear,2024-03-08,/Users/alex/Music/Musica/Music/BTS/Love Yourself_ Tear/08 Airplane pt.2 (Jap. Ver).mp3,42,455,unknown,1,300622d25dd9d6f5de52d3fc7764b3d5581c253aad3dca3bc78f2543e8e6065b
7754,Airplane pt.2,BTS,Love Yourself: Tear,2021-01-17,/Users/alex/Music/Musica/Music/BTS/Love Yourself_ Tear/Airplane pt.2.mp3,31,227,unknown,0,3195daa3174063af13e7178a3447b7589bfc2f91f0bd9a303f0c0f250b13d3b4
7772,Anpanman,BTS,Love Yourself: Tear,2021-01-20,/Users/alex/Music/Musica/Music/BTS/Love Yourself_ Tear/Anpanman.mp3,61,229,unknown,0,863feee00a25133edd03695aca8300eed3f75c6fc96e47f60d95e6d910ba0d44
7646,Fake Love,BTS,Love Yourself: Tear,2020-11-20,/Users/alex/Music/Musica/Music/BTS/Love Yourself_ Tear/Fake Love.mp3,63,240,unknown,0,e03ebc32012ecfd7748cd08e73dc8f889ddc70659340f83a0d2baf88b9da0987
7756,The Truth Untold,BTS,Love Yourself: Tear,2021-01-17,/Users/alex/Music/Musica/Music/BTS/Love Yourself_ Tear/The Truth Untold.mp3,60,245,unknown,1,f7d379298f512cc58a0783cb2185ad02cd9f82ab2f4247a65980aeb809571557
